"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1785819316124004630","Wed May 01 23:51:18 +0000 2024","0","Coba dong artis2 yg biasa belanja2 di luar negeri bikin video pas di bea cukai. Penasaran selama ini lom ada artis yg komplain.","1785819316124004630","","","in","","0","0","0","https://twitter.com/fibrianti13/status/1785819316124004630","1485509048330244096","fibrianti13"
"1785138393028112720","Wed May 01 23:50:42 +0000 2024","0","@prastow @ainunnajib Berarti ini soal edukasi yang tidak sampai ke masyarakat scr luas. Beacukai tidak cukup hanya dengan menyediakan Helpdesk langkah konkrit perlu dilakukan dengan menggandeng media online seperti punya saya ini https://t.co/RlJvjHdFEy","1785819165628256427","","prastow","in","Indonesia","0","0","0","https://twitter.com/wartawanamatir/status/1785819165628256427","2309510503","wartawanamatir"
"1785818928549356009","Wed May 01 23:49:46 +0000 2024","1","Kinerja Petugas Bea Cukai sedang jadi sorotan https://t.co/u5Ty5LYYYy","1785818928549356009","","","in","𝙅𝙖𝙠𝙖𝙧𝙩𝙖","0","0","0","https://twitter.com/Alie_Fahnoor/status/1785818928549356009","1121831857098641408","Alie_Fahnoor"
"1785579562547708101","Wed May 01 23:45:53 +0000 2024","0","@medyrenaldy_ tempelin logo decepticon vs bea cukai bang","1785817953960927582","","medyrenaldy_","in","Wonogiri, Jawa Tengah","0","0","0","https://twitter.com/masmaskopling/status/1785817953960927582","1875302610","masmaskopling"
"1785517516292571221","Wed May 01 23:45:36 +0000 2024","0","@worksfess di bea cukai","1785817881516896673","","worksfess","in","San Francisco, CA","0","0","0","https://twitter.com/spaidermeng/status/1785817881516896673","1300388385966579714","spaidermeng"
"1785817236164522257","Wed May 01 23:43:02 +0000 2024","0","Memperbaiki citra Bea Cukai - buat gebrakan inovasi terkait tata kelola dari segala aspek sehingga masy secara organik kasih review bagus ️ - cari buzzer ️","1785817236164522257","","","in","Indonesia","0","0","0","https://twitter.com/anpefena/status/1785817236164522257","714204218","anpefena"
"1785699615221919860","Wed May 01 23:42:11 +0000 2024","0","@emgininamaku tunggu aja ada influ pro bea cukai wkwkw","1785817023441940831","","emgininamaku","in","","0","0","0","https://twitter.com/bbluwbrryez/status/1785817023441940831","1343481644347392001","bbluwbrryez"
"1785812000943304891","Wed May 01 23:40:41 +0000 2024","0","@AsyfOteOteRebus @KediriFess Gak enek gg yo akeh seng nganggur wong karyawan e sebagian besar warga kediri gak enek bandara pisan penyumbang pajak dan bea cukai terbesar yo bayangno ae lek gaenek gg","1785816645988172272","","AsyfOteOteRebus","in","Kota Kediri, Indonesia","0","0","0","https://twitter.com/piooowwww/status/1785816645988172272","1125919157944381440","piooowwww"
"1785459293984346379","Wed May 01 23:40:15 +0000 2024","0","@cerealcoklat @PNS_Ababil @bayuamus Masalah bea cukai nahan barang sampe barang buat slb aja ketahan 2 tahun","1785816535459869022","","cerealcoklat","in","","0","0","0","https://twitter.com/rizki_kukur/status/1785816535459869022","148269154","rizki_kukur"
"1785816369709388120","Wed May 01 23:39:36 +0000 2024","0","kotor banget isi bea cukai kotorrrrr","1785816369709388120","","","in","","0","0","0","https://twitter.com/yupigulung/status/1785816369709388120","1638695597774618624","yupigulung"
"1785692209670762604","Wed May 01 23:37:44 +0000 2024","0","@janelletis NGAKAK. Kok bea cukai..","1785815903516697017","","janelletis","in","Jijuro.","0","1","0","https://twitter.com/maverionard/status/1785815903516697017","1361099544583315457","maverionard"
"1785579562547708101","Wed May 01 23:36:40 +0000 2024","0","@medyrenaldy_ Beacukai heboh soalnya yg di obrak-abrik barang influencer coba yang di bobol itu barang rakyat biasa Coba itu aja judulnya","1785815632782737752","","medyrenaldy_","in","","0","0","0","https://twitter.com/Another_alpha27/status/1785815632782737752","1321157364536332288","Another_alpha27"
"1785454850173796829","Wed May 01 23:35:22 +0000 2024","0","@Heraloebss Jalan pintas nya Bea Cukai cari Buzzer https://t.co/nSmvLtyi6k","1785815308139413896","https://pbs.twimg.com/media/GMh9jRta4AA8cNg.jpg","Heraloebss","in","Indonesia","0","0","0","https://twitter.com/enot_inot/status/1785815308139413896","596108393","enot_inot"
"1785814338076541156","Wed May 01 23:31:31 +0000 2024","0","List Pencapaian hidup: - ditawarin endorse capres - ditawarin endorse beacukai","1785814338076541156","","","in","Jakarta Barat, DKI Jakarta","0","1","0","https://twitter.com/KucingBogell/status/1785814338076541156","1728633484447764480","KucingBogell"
"1785813920118366611","Wed May 01 23:29:52 +0000 2024","1","Bea Cukai makin kesini makin gk jelas. Nyambut gawe gk entos tp bayarane akeh","1785813920118366611","","","in","Sedati, Indonesia","0","0","0","https://twitter.com/StepOur27/status/1785813920118366611","517248755","StepOur27"
"1785811718792466545","Wed May 01 23:21:07 +0000 2024","0","Sumpah goblok banget nih bea cukai.","1785811718792466545","","","in","earth","0","0","0","https://twitter.com/itsokutarianaa/status/1785811718792466545","1261311036272939008","itsokutarianaa"
